
[2018-12-5 7:53:53][ISSUE][STARTED UDP]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][CONNECTION STARTED][READ MODE]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:27]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:28]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:29]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:30]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:31]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:32]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:33]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:34]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:35]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:36]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:37]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:38]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:39]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:40]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:41]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:42]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:43]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:44]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:45]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:46]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:47]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:48]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:49]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:50]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:51]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:52]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:53]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:54]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:55]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:56]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:57]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:58]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:59]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:60]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:61]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:62]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:63]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:64]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:65]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:66]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:67]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:68]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:69]
[2018-12-5 7:53:53][Host: ][IP:][Protocol:UDP][Port:0][File test.mp3][Send block:70]
